country,description,designation,points,price,province,region_1,title,variety,year,category,price_range
United States,"A lush and expansive, small-production wine, this weaves together dark fruit with streaks of cedar and herb, its texture fleshy, full bodied and powerful. The tannin and oak are nicely integrated, allowing for a balance of structure and flavor.",Reserve,93,100.0,California,Napa Valley,Herencia 2013 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,2013.0,4/6 Excellent,Up to 100€
United States,"Floral aromas and flavors mingle in a sweet, slightly soapy midpalate. The fruit is nondescript; what is most noticeable are the brown, sweet spices.",777,85,29.0,Oregon,Willamette Valley,Elkhorn Ridge 2011 777 Pinot Noir (Willamette Valley),Pinot Noir,2011.0,2/6 Good,Up to 50€
United States,"Once again this designate amazes with a surfeit of beautifully integrated flavors. Mushrooms and baking spices adorn an explosion of strawberry pastries. There's plenty of ripe cherry fruit also, and a long, polished, lip-licking finish.",Winderlea Vineyard,94,105.0,Oregon,Dundee Hills,Adelsheim 2013 Winderlea Vineyard Pinot Noir (Dundee Hills),Pinot Noir,2013.0,5/6 Superior,Up to 500€
United States,"A bit heavy and creamy, but there's something exotic about the oily, fat richness that suggests cashew nuts. With Meyer lemon flavors, it's an unctuous wine, and a very good value.",Avant,90,15.0,California,California,Kendall-Jackson 2010 Avant Chardonnay (California),Chardonnay,2010.0,4/6 Excellent,Up to 20€
United States,"Distinctive citrus and wild sage aromas and a dazzlingly crisp balance characterize this wine. Clean, bracing fruit flavors linger on the lively finish. Grown in a small organic vineyard, this brings authenticity at a very reasonable price.",Estate Grown Made With Organically Grown Grapes,90,16.0,California,Potter Valley,McFadden 2013 Estate Grown Made With Organically Grown Grapes Pinot Gris (Potter Valley),Pinot Gris,2013.0,4/6 Excellent,Up to 20€
United States,"Bright aromas of apricot, pear, botrytis and jasmine are followed by medium-sweet stone-fruit flavors, backed by vibrant acidity.",Reserve,89,16.0,Washington,Columbia Valley (WA),Waterbrook 2014 Reserve Riesling (Columbia Valley (WA)),Riesling,2014.0,3/6 Very Good,Up to 20€
United States,"An awesome Chardonnay. Explodes in the mouth with massive pineapple, crème brûlée, apricot jam and new oak flavors that finish thoroughly dry. For all the richness, there's a near-perfect balance of acidity, and a mineral undertow that grounds the wine, providing vitality and life. Brilliant now and through 2013.",Keefer Ranch,94,38.0,California,Russian River Valley,Failla 2007 Keefer Ranch Chardonnay (Russian River Valley),Chardonnay,2007.0,5/6 Superior,Up to 50€
United States,"This wine has a deep pink color with a touch of amber, and very bright and zingy aromas. Mouthwatering, crisp fruit flavors are full of citrus and cherry. The lively texture is due to great grape acidity that lights up this wine.",Signal Ridge Vineyard Rosé of,89,24.0,California,Mendocino Ridge,Bravium 2014 Signal Ridge Vineyard Rosé of Rosé (Mendocino Ridge),Rosé,2014.0,3/6 Very Good,Up to 50€
United States,"Though the vintage helped create a lighter-than-usual version of this benchmark Pinot, it's beautifully crafted and fully realized. Like Burgundy, it disguises its power in a framework of elegantly defined fruits, acids and polished tannins. Cherry, plum, peach pit, pineapple and lemon oil notes are all in the mix. It's a wine that invites contemplation and rewards your time and attention.",Bergström Vineyard,93,80.0,Oregon,Dundee Hills,Bergström 2010 Bergström Vineyard Pinot Noir (Dundee Hills),Pinot Noir,2010.0,4/6 Excellent,Up to 100€
United States,"Sourced from a so-called “mystery clone” that may have originally arrived in Charles Coury's suitcase back in 1964, this unique old-vine bottling offers exceptional details of dusty cocoa, baking spices, cola, minerals and iron filings. The brambly berry fruits are not at all overwhelmed, just balanced out with the structure for aging. Drink now through 2025.",Coury,92,60.0,Oregon,McMinnville,Hyland 2012 Coury Pinot Noir (McMinnville),Pinot Noir,2012.0,4/6 Excellent,Up to 100€
